date,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,positive_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,population_density,total_cases_koronavirus,total_deaths_koronavirus,total_vaccinations_koronavirus,people_vaccinated_koronavirus,people_fully_vaccinated_koronavirus
2020-02-25,HRV,Europe,Croatia,1.0,1.0,,,,,,,,,,,,,,,,,,4081657.0,73.726,,,,,
2020-02-26,HRV,Europe,Croatia,3.0,2.0,,,,,,,,,,,,,,,,,,4081657.0,73.726,2.0,0.0,0.0,0.0,0.0
2020-02-27,HRV,Europe,Croatia,3.0,0.0,,,,,,,,,,,,,,,,,,4081657.0,73.726,3.0,0.0,0.0,0.0,0.0
2020-02-28,HRV,Europe,Croatia,5.0,2.0,,,,,,,,,,,,,,,,,,4081657.0,73.726,3.0,0.0,0.0,0.0,0.0
2020-02-29,HRV,Europe,Croatia,6.0,1.0,,,,,,,,,,,,,,,,,,4081657.0,73.726,5.0,0.0,0.0,0.0,0.0
2020-03-01,HRV,Europe,Croatia,7.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,7.0,0.0,0.0,0.0,0.0
2020-03-02,HRV,Europe,Croatia,7.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,8.0,0.0,0.0,0.0,0.0
2020-03-03,HRV,Europe,Croatia,9.0,2.0,1.143,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,9.0,0.0,0.0,0.0,0.0
2020-03-04,HRV,Europe,Croatia,10.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,9.0,0.0,0.0,0.0,0.0
2020-03-05,HRV,Europe,Croatia,10.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,10.0,0.0,0.0,0.0,0.0
2020-03-06,HRV,Europe,Croatia,11.0,1.0,0.857,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,10.0,0.0,0.0,0.0,0.0
2020-03-07,HRV,Europe,Croatia,12.0,1.0,0.857,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,11.0,0.0,0.0,0.0,0.0
2020-03-08,HRV,Europe,Croatia,12.0,0.0,0.7140000000000001,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,12.0,0.0,0.0,0.0,0.0
2020-03-09,HRV,Europe,Croatia,12.0,0.0,0.7140000000000001,,,0.0,,,,,,,,,,,,,,4081657.0,73.726,12.0,0.0,0.0,0.0,0.0
2020-03-10,HRV,Europe,Croatia,14.0,2.0,0.7140000000000001,,,0.0,,0.042,,,,,,,,,,,,4081657.0,73.726,13.0,0.0,0.0,0.0,0.0
2020-03-11,HRV,Europe,Croatia,19.0,5.0,1.286,,,0.0,,0.054000000000000006,,,,,,,,,,,,4081657.0,73.726,16.0,0.0,0.0,0.0,0.0
2020-03-12,HRV,Europe,Croatia,19.0,0.0,1.286,,,0.0,,0.043,,,,,,,,,,,,4081657.0,73.726,19.0,0.0,0.0,0.0,0.0
2020-03-13,HRV,Europe,Croatia,32.0,13.0,3.0,,,0.0,,0.083,,,,,,,,,,,,4081657.0,73.726,32.0,0.0,0.0,0.0,0.0
2020-03-14,HRV,Europe,Croatia,38.0,6.0,3.714,,,0.0,,0.079,,,,,,,,,,,,4081657.0,73.726,37.0,0.0,0.0,0.0,0.0
2020-03-15,HRV,Europe,Croatia,49.0,11.0,5.2860000000000005,,,0.0,,0.08800000000000001,,,,,,,,,,,,4081657.0,73.726,49.0,0.0,0.0,0.0,0.0
2020-03-16,HRV,Europe,Croatia,57.0,8.0,6.4289999999999985,,,0.0,,0.083,,,,,,,,,,,,4081657.0,73.726,57.0,0.0,0.0,0.0,0.0
2020-03-17,HRV,Europe,Croatia,65.0,8.0,7.286,,,0.0,,0.069,,,,,,,,,,,,4081657.0,73.726,69.0,0.0,0.0,0.0,0.0
2020-03-18,HRV,Europe,Croatia,81.0,16.0,8.857000000000003,,,0.0,,0.08199999999999999,,,,,,,,,,,,4081657.0,73.726,89.0,0.0,0.0,0.0,0.0
2020-03-19,HRV,Europe,Croatia,105.0,24.0,12.286,1.0,1.0,0.14300000000000002,,0.11,,,,,,,,,,,,4081657.0,73.726,105.0,0.0,0.0,0.0,0.0
2020-03-20,HRV,Europe,Croatia,128.0,23.0,13.714,1.0,0.0,0.14300000000000002,2.4,0.08800000000000001,,,,,,,,,,,,4081657.0,73.726,128.0,0.0,0.0,0.0,0.0
2020-03-21,HRV,Europe,Croatia,206.0,78.0,24.0,1.0,0.0,0.14300000000000002,2.5,0.122,,,,,,,,,,,,4081657.0,73.726,206.0,0.0,0.0,0.0,0.0
2020-03-22,HRV,Europe,Croatia,254.0,48.0,29.286,1.0,0.0,0.14300000000000002,2.34,0.124,,,,,,,,,,,,4081657.0,73.726,,,,,
2020-03-23,HRV,Europe,Croatia,315.0,61.0,36.857,1.0,0.0,0.14300000000000002,2.19,0.136,,,,,,,,,,,,4081657.0,73.726,254.0,0.0,0.0,0.0,0.0
2020-03-24,HRV,Europe,Croatia,382.0,67.0,45.286,1.0,0.0,0.14300000000000002,2.02,0.155,,,,,,,,,,,,4081657.0,73.726,,,,,
2020-03-25,HRV,Europe,Croatia,442.0,60.0,51.57100000000001,1.0,0.0,0.14300000000000002,1.84,0.14800000000000002,,,,,,,,,,,,4081657.0,73.726,442.0,1.0,0.0,0.0,0.0
2020-03-26,HRV,Europe,Croatia,495.0,53.0,55.714,3.0,2.0,0.28600000000000003,1.72,0.132,,,,,,,,,,,,4081657.0,73.726,,,,,
2020-03-27,HRV,Europe,Croatia,586.0,91.0,65.429,3.0,0.0,0.28600000000000003,1.65,0.146,,,,,,,,,,,,4081657.0,73.726,586.0,3.0,0.0,0.0,0.0
2020-03-28,HRV,Europe,Croatia,657.0,71.0,64.429,5.0,2.0,0.5710000000000001,1.51,0.141,,,,,,,,,,,,4081657.0,73.726,,,,,
2020-03-29,HRV,Europe,Croatia,713.0,56.0,65.571,6.0,1.0,0.7140000000000001,1.45,0.131,,,,,,,,,,,,4081657.0,73.726,657.0,5.0,0.0,0.0,0.0
2020-03-30,HRV,Europe,Croatia,790.0,77.0,67.857,6.0,0.0,0.7140000000000001,1.41,0.131,,,,,,,,,,,,4081657.0,73.726,790.0,6.0,0.0,0.0,0.0
2020-03-31,HRV,Europe,Croatia,867.0,77.0,69.286,6.0,0.0,0.7140000000000001,1.33,0.126,,,,,,,,,,,,4081657.0,73.726,867.0,6.0,0.0,0.0,0.0
2020-04-01,HRV,Europe,Croatia,963.0,96.0,74.429,6.0,0.0,0.7140000000000001,1.25,0.128,,,,,,,,,,,,4081657.0,73.726,963.0,6.0,0.0,0.0,0.0
2020-04-02,HRV,Europe,Croatia,1011.0,48.0,73.714,7.0,1.0,0.5710000000000001,1.13,0.125,,,,,,,,,,,,4081657.0,73.726,1011.0,7.0,0.0,0.0,0.0
2020-04-03,HRV,Europe,Croatia,1079.0,68.0,70.429,8.0,1.0,0.7140000000000001,1.05,0.11,,,,,,,,,,,,4081657.0,73.726,1079.0,8.0,0.0,0.0,0.0
2020-04-04,HRV,Europe,Croatia,1126.0,47.0,67.0,12.0,4.0,1.0,0.98,0.102,,,,,,,,,,,,4081657.0,73.726,1126.0,12.0,0.0,0.0,0.0
2020-04-05,HRV,Europe,Croatia,1182.0,56.0,67.0,15.0,3.0,1.286,0.99,0.095,,,,,,,,,,,,4081657.0,73.726,1182.0,15.0,0.0,0.0,0.0
2020-04-06,HRV,Europe,Croatia,1222.0,40.0,61.714,16.0,1.0,1.429,0.99,0.085,,,,,,,,,,,,4081657.0,73.726,1222.0,16.0,0.0,0.0,0.0
2020-04-07,HRV,Europe,Croatia,1282.0,60.0,59.286,18.0,2.0,1.714,1.0,0.078,,,,,,,,,,,,4081657.0,73.726,1282.0,18.0,0.0,0.0,0.0
2020-04-08,HRV,Europe,Croatia,1343.0,61.0,54.286,19.0,1.0,1.857,1.0,0.07,,,,,,,,,,,,4081657.0,73.726,1343.0,19.0,0.0,0.0,0.0
2020-04-09,HRV,Europe,Croatia,1407.0,64.0,56.57100000000001,20.0,1.0,1.857,1.01,0.07400000000000001,,,,,,,,,,,,4081657.0,73.726,1407.0,20.0,0.0,0.0,0.0
2020-04-10,HRV,Europe,Croatia,1495.0,88.0,59.429,21.0,1.0,1.857,1.0,0.078,,,,,,,,,,,,4081657.0,73.726,1495.0,21.0,0.0,0.0,0.0
2020-04-11,HRV,Europe,Croatia,1534.0,39.0,58.286,21.0,0.0,1.286,0.94,0.07,,,,,,,,,,,,4081657.0,73.726,1534.0,21.0,0.0,0.0,0.0
2020-04-12,HRV,Europe,Croatia,1600.0,66.0,59.714,23.0,2.0,1.143,0.94,0.075,,,,,,,,,,,,4081657.0,73.726,1600.0,23.0,0.0,0.0,0.0
2020-04-13,HRV,Europe,Croatia,1650.0,50.0,61.143,25.0,2.0,1.286,0.9,0.068,,,,,,,,,,,,4081657.0,73.726,1650.0,25.0,0.0,0.0,0.0
2020-04-14,HRV,Europe,Croatia,1704.0,54.0,60.286,31.0,6.0,1.857,0.84,0.07,,,,,,,,,,,,4081657.0,73.726,1704.0,31.0,0.0,0.0,0.0
2020-04-15,HRV,Europe,Croatia,1741.0,37.0,56.857,33.0,2.0,2.0,0.76,0.065,,,341.0,83.545,,,,,,,,4081657.0,73.726,1741.0,33.0,0.0,0.0,0.0
