date,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,positive_rate,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,population_density,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,median_age,excess_mortality,total_vaccinations_interpolated,people_vaccinated_interpolated,people_fully_vaccinated_interpolated,new_cases_smoothed_normalized,new_deaths_smoothed_normalized,total_deaths_normalized,total_cases_normalized,people_vaccinated_interpolated_normalized,people_fully_vaccinated_interpolated_normalized,hosp_patients_normalized,new_cases_smoothed_standardized,new_deaths_smoothed_standardized,people_vaccinated_interpolated_standardized,people_fully_vaccinated_interpolated_standardized,hosp_patients_standardized
2021-01-01,HRV,Europe,Croatia,2021-01-01,212007.0,1170.0,1149.286,3961.0,41.0,59.0,0.67,0.225,2478.0,607.106,,,,,,,1105.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,281.573,14.455,,607.106,,271.0,67.59,44.0,,,,,0.19802191103783096,0.9999999999999999,0.0,0.0,,,1.0,0.09392788741716906,2.583663326447708,,,2.2336715282825623
2021-01-02,HRV,Europe,Croatia,2021-01-02,212262.0,255.0,1135.714,4016.0,55.0,57.571,0.65,0.222,2437.0,597.061,,,,,,,1105.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,278.248,14.105,,597.061,,271.0,67.59,44.0,,,,,0.19553606654121444,0.975542966677506,0.00894018205461633,0.000736434444338574,,,0.9827222924568059,0.0819401906072261,2.490735281429135,,,2.172504947181901
2021-01-03,HRV,Europe,Croatia,2021-01-03,212958.0,696.0,1146.857,4072.0,56.0,57.286,0.69,0.212,2453.0,600.981,,1528.799,12285.0,12285.0,,,1105.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,280.978,14.035,,600.981,,271.0,67.59,44.0,39.91,12285.0,12285.0,,0.19757701593893015,0.9706652518441184,0.01804291287386206,0.002746467280650866,0.0,,0.9894648124736621,0.0917824323957019,2.4722016965234017,-1.5220980528828727,,2.196374832489476
2021-01-04,HRV,Europe,Croatia,2021-01-04,213319.0,361.0,1153.286,4126.0,54.0,55.286,0.74,0.212,2453.0,600.981,,,,,,,1036.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,282.553,13.545,,600.981,,254.0,67.59,44.0,,13041.5,13041.5,,0.19875455014676596,0.9364356740659604,0.0268205461638491,0.003789027415577184,0.000363212982523526,,0.9894648124736621,0.09746095455832522,2.3421414515708854,-1.5210332352983658,,2.196374832489476
2021-01-05,HRV,Europe,Croatia,2021-01-05,214390.0,1071.0,1113.429,4179.0,53.0,54.857,0.77,0.209,2390.0,585.547,,,13798.0,13798.0,,,989.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,272.788,13.44,,585.547,,242.0,67.59,44.0,,13798.0,13798.0,,0.1914543509055603,0.9290934296325455,0.03543563068920674,0.00688205208179915,0.000726425965047052,,0.9629161399072904,0.06225659029705996,2.3142435290285706,-1.5199684177138588,,2.1023871590908985
2021-01-06,HRV,Europe,Croatia,2021-01-06,216286.0,1896.0,1120.0,4223.0,44.0,51.857,0.77,0.192,2264.0,554.677,,,,,,,1334.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,274.398,12.705,,554.677,,327.0,67.59,44.0,,17200.5,17200.5,,0.19265789380176326,0.8777490629653083,0.042587776332899785,0.012357658773822222,0.0023600441713078546,,0.9098187947745471,0.06806053634319417,2.119153161599796,-1.5151792018099797,,1.9144118122937435
2021-01-07,HRV,Europe,Croatia,2021-01-07,216848.0,562.0,858.714,4266.0,43.0,49.429,0.73,0.167,2284.0,559.577,,,20603.0,20603.0,,,1662.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,210.384,12.11,,559.577,,407.0,67.59,44.0,,20603.0,20603.0,,0.144800808247465,0.8361943555426244,0.04957737321196354,0.013980702529580169,0.003993662377568658,,0.9182469447956174,-0.162724708917838,1.9612600242274416,-1.5103899859061003,,1.9442491689282126
2021-01-08,HRV,Europe,Croatia,2021-01-08,217946.0,1098.0,848.429,4304.0,38.0,49.0,0.77,0.16,2251.0,551.492,,,24985.0,24985.0,,4382.0,2130.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,207.864,12.005,,551.492,,522.0,67.59,44.0,,24985.0,24985.0,,0.14291700993861584,0.8288521111092094,0.05575422626788029,0.017151702607555608,0.0060975609756097554,,0.9043404972608513,-0.17180910780453584,1.9333621016851266,-1.5042220669962403,,1.8950175304813386
2021-01-09,HRV,Europe,Croatia,2021-01-09,219347.0,1401.0,1012.143,4342.0,38.0,46.571,0.81,0.161,2084.0,510.577,,,30000.0,30000.0,,5015.0,2689.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,247.974,11.41,,510.577,,659.0,56.48,44.0,,30000.0,30000.0,,0.17290282970866241,0.7872802888976363,0.061931079323797045,0.021197760084097905,0.008505377376608413,,0.8339654445849137,-0.02720596931772584,1.7754039341902954,-1.4971631639079364,,1.645875602583522
2021-01-10,HRV,Europe,Croatia,2021-01-10,219993.0,646.0,1005.0,4368.0,26.0,42.286,0.8,0.154,2131.0,522.092,,1209.964,,,,,2693.0,4081657.0,73.726,22669.797,0.7,78.49,0.851,246.224,10.36,,522.092,,660.0,56.48,44.0,12.75,31138.25,31138.25,,0.1715945194198817,0.7139434185079327,0.06615734720416122,0.023063394009755656,0.00905187728058383,,0.8537715971344291,-0.03351514396504548,1.4967498593795296,-1.4955610110783726,,1.7159933906745242
