location,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,population,population_density,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,hosp_patients_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,median_age,excess_mortality
Albania,11803.431,1.1,78.57,0.795,2872934.0,104.871,191.45614285714285,1.7580000000000002,,,,31.93625,2336.6153846153848,45.78333333333333,38.0,
Algeria,13913.839,0.5,76.88,0.748,44616626.0,17.348,2.5022857142857142,0.10628571428571429,0.4137692307692308,,,11.015,267.44444444444446,,29.1,
Argentina,18933.907,0.6,76.67,0.845,45605823.0,16.177,27.080785714285717,0.4407142857142857,,,,59.29272727272728,5548.153846153846,42.59,31.9,
Armenia,8787.58,1.8,75.09,0.776,2968128.0,102.931,476.5665714285714,16.295571428571428,,,,9.38,2364.2,,35.7,
Australia,44648.71,0.5,83.44,0.944,25788217.0,3.202,51.54814285714286,0.39842857142857147,,,,68.58571428571429,5594.928571428572,60.65,37.9,
Austria,45436.686,0.7,81.54,0.922,9043072.0,106.749,1070.4337857142857,3.0884285714285715,44.3654,191.9259,191.9259,63.22615384615385,6136.615384615385,52.27090909090909,44.4,
Bangladesh,3523.984,14.8,72.59,0.632,166303494.0,1265.036,1.2747142857142857,0.0235,,,,19.39272727272727,6075.928571428572,23.15,27.5,
Belgium,42658.576,0.2,81.63,0.931,11632334.0,375.564,872.4915714285714,2.3352142857142857,38.006099999999996,187.4174,187.4174,74.12307692307692,552.9230769230769,45.17285714285714,41.8,
Benin,2064.236,49.6,61.77,0.545,12451031.0,99.11,0.40249999999999997,0.0,,,,2.13,505.5,,18.8,
Bhutan,8708.597,1.5,71.78,0.654,779900.0,21.188,0.4184285714285714,0.0,,,,,,47.22,28.6,
Bolivia,6885.829,7.1,71.51,0.718,11832936.0,10.202,64.1405,0.5777857142857143,,,,33.153333333333336,1674.2857142857142,30.09,25.4,
Bosnia and Herzegovina,11713.895,0.2,77.4,0.78,3263459.0,68.496,235.48635714285714,10.190285714285713,,,,,,35.19,42.5,
Brazil,14103.452,3.4,75.88,0.765,213993441.0,25.04,48.4465,1.1414285714285715,,,,59.050000000000004,6611.461538461538,41.2,33.5,
Bulgaria,18563.307,1.5,75.05,0.816,6896655.0,65.18,519.9326428571428,23.310642857142856,106.9935,1212.1529,1212.1529,23.30785714285714,2209.3571428571427,,44.7,
Burkina Faso,1703.102,43.7,61.58,0.452,21497097.0,70.151,1.5117857142857143,0.10057142857142856,,,,,,13.890000000000002,17.6,
Burundi,702.225,71.7,61.58,0.433,12255429.0,423.062,1.1267142857142856,0.0,,,,0.0,3.0,11.11,17.5,
Cameroon,3364.926,23.8,59.29,0.563,27224262.0,50.885,8.298,0.18678571428571428,,,,0.7399999999999999,154.71428571428572,26.515454545454546,18.8,
Canada,44017.591,0.5,82.43,0.929,38067913.0,4.037,63.385,0.6616428571428571,13.376923076923077,46.128,46.128,75.16,1655.357142857143,67.13,41.4,
Chad,1768.153,38.4,54.24,0.398,16914985.0,11.833,0.06999999999999999,0.0017142857142857144,,,,0.38999999999999996,64.9,22.22,16.7,
Chile,22767.037,1.3,80.18,0.851,19212362.0,24.282,118.91514285714285,0.8280714285714286,,,,81.45846153846153,8337.615384615385,35.65,35.4,
China,15308.712,0.7,76.91,0.761,1444216102.0,147.674,0.049,0.0,,,,74.305,5711.615384615385,76.39,38.7,
Colombia,13254.949,4.5,77.29,0.767,51265841.0,44.223,41.85207142857143,0.7264285714285714,,,,44.08222222222222,6229.5,,32.2,
Comoros,1413.89,18.1,64.32,0.554,888456.0,437.352,10.53192857142857,0.161,,,,22.31,2629.2,,20.4,
Congo,4881.406,37.0,64.57,0.574,5657017.0,15.405,9.998428571428573,0.6026428571428571,,,,2.2300000000000004,1108.7142857142858,38.89,19.0,
Costa Rica,15524.995,1.3,80.28,0.81,5139053.0,96.079,56.61121428571429,2.0669999999999997,,,,57.92,4539.818181818182,,33.6,
