total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
558270,10113,3931774.0,2095085.0,1881107.0,2021-11-18
551000,10050,3899376.0,2076934.0,1873073.0,2021-11-17
544330,9986,3871196.0,2060023.0,1865294.0,2021-11-16
539887,9936,3852323.0,2048628.0,1859418.0,2021-11-15
538752,9881,3845713.0,2043475.0,1857649.0,2021-11-14
534601,9840,3817390.0,2024193.0,1851543.0,2021-11-13
528286,9774,3790884.0,2009038.0,1845345.0,2021-11-12
521837,9721,3759981.0,1990925.0,1837846.0,2021-11-11
514850,9655,3732705.0,1974397.0,1831401.0,2021-11-10
507535,9605,,,,2021-11-09
502569,9546,,,,2021-11-08
501327,9500,3690148.0,1948738.0,1820138.0,2021-11-07
497168,9450,3675807.0,1939061.0,1816377.0,2021-11-06
490074,9400,3658686.0,1930471.0,1811801.0,2021-11-05
483142,9364,3641758.0,1922763.0,1806387.0,2021-11-04
476832,9332,3627387.0,1916565.0,1802284.0,2021-11-03
472259,9291,3617177.0,1911771.0,1798141.0,2021-11-02
471474,9251,3616491.0,1911657.0,1798069.0,2021-11-01
470348,9220,3615769.0,1911239.0,1797683.0,2021-10-31
467029,9198,3610412.0,1908486.0,1795287.0,2021-10-30
462482,9168,3599586.0,1903995.0,1791056.0,2021-10-29
458090,9142,3586590.0,1898271.0,1785981.0,2021-10-28
453936,9116,3575459.0,1894067.0,1781470.0,2021-10-27
449365,9090,3566066.0,1889710.0,1777373.0,2021-10-26
446005,9060,3558842.0,1887251.0,1774513.0,2021-10-25
445325,9038,3557853.0,1886923.0,1774037.0,2021-10-24
443032,9010,3554203.0,1885279.0,1772187.0,2021-10-23
439447,8985,3545766.0,1881702.0,1767965.0,2021-10-22
436189,8968,3537299.0,1877622.0,1763617.0,2021-10-21
433136,8951,3530290.0,1875073.0,1760158.0,2021-10-20
429974,8928,3524319.0,1872076.0,1757089.0,2021-10-19
428233,8907,3520417.0,1870455.0,1754919.0,2021-10-18
427914,8896,3520008.0,1870176.0,1754676.0,2021-10-17
426613,8877,3516613.0,1868374.0,1752644.0,2021-10-16
424666,8862,3510623.0,1865665.0,1749058.0,2021-10-15
422908,8847,3503116.0,1861783.0,1744717.0,2021-10-14
421057,8829,3496972.0,1858610.0,1741129.0,2021-10-13
419035,8802,3491225.0,1855439.0,1737752.0,2021-10-12
418028,8778,3486793.0,1852899.0,1633894.0,2021-10-11
417858,8772,3486177.0,1852552.0,1735022.0,2021-10-10
416950,8763,3482880.0,1850652.0,1733195.0,2021-10-09
